node_id	display_name	type	gene_or_compound_id	x	y
14	IAA	compound	C00954	244	175
181	ABP1	gene	AT4G02980	295	252
110	AFB3	gene	AT1G12820	467	176
110	AFB3	gene	AT3G26810	467	176
110	AFB3	gene	AT3G62980	467	176
110	AFB3	gene	AT4G03190	467	176
183	AHA10	gene	AT1G17260	324	331
183	AHA10	gene	AT1G80660	324	331
183	AHA10	gene	AT2G07560	324	331
183	AHA10	gene	AT2G18960	324	331
183	AHA10	gene	AT2G24520	324	331
183	AHA10	gene	AT3G42640	324	331
183	AHA10	gene	AT3G47950	324	331
183	AHA10	gene	AT3G60330	324	331
183	AHA10	gene	AT4G11730	324	331
183	AHA10	gene	AT4G30190	324	331
183	AHA10	gene	AT5G57350	324	331
183	AHA10	gene	AT5G62670	324	331
51	ARF19	gene	AT1G19220	660	176
51	ARF19	gene	AT1G19850	660	176
51	ARF19	gene	AT1G30330	660	176
51	ARF19	gene	AT1G34170	660	176
51	ARF19	gene	AT1G34310	660	176
51	ARF19	gene	AT1G34390	660	176
51	ARF19	gene	AT1G34410	660	176
51	ARF19	gene	AT1G35240	660	176
51	ARF19	gene	AT1G35520	660	176
51	ARF19	gene	AT1G35540	660	176
51	ARF19	gene	AT1G43950	660	176
51	ARF19	gene	AT1G59750	660	176
51	ARF19	gene	AT1G77850	660	176
51	ARF19	gene	AT2G28350	660	176
51	ARF19	gene	AT2G33860	660	176
51	ARF19	gene	AT2G46530	660	176
51	ARF19	gene	AT3G61830	660	176
51	ARF19	gene	AT4G23980	660	176
51	ARF19	gene	AT4G30080	660	176
51	ARF19	gene	AT5G20730	660	176
51	ARF19	gene	AT5G37020	660	176
51	ARF19	gene	AT5G60450	660	176
51	ARF19	gene	AT5G62000	660	176
128	AT1G16510	gene	AT1G16510	824	196
128	AT1G16510	gene	AT1G19830	824	196
128	AT1G16510	gene	AT1G19840	824	196
128	AT1G16510	gene	AT1G20470	824	196
128	AT1G16510	gene	AT1G29420	824	196
128	AT1G16510	gene	AT1G29430	824	196
128	AT1G16510	gene	AT1G29440	824	196
128	AT1G16510	gene	AT1G29450	824	196
128	AT1G16510	gene	AT1G29460	824	196
128	AT1G16510	gene	AT1G29490	824	196
128	AT1G16510	gene	AT1G29500	824	196
128	AT1G16510	gene	AT1G29510	824	196
128	AT1G16510	gene	AT1G56150	824	196
128	AT1G16510	gene	AT1G75580	824	196
128	AT1G16510	gene	AT1G75590	824	196
128	AT1G16510	gene	AT1G76190	824	196
128	AT1G16510	gene	AT1G79130	824	196
128	AT1G16510	gene	AT2G16580	824	196
128	AT1G16510	gene	AT2G18010	824	196
128	AT1G16510	gene	AT2G21200	824	196
128	AT1G16510	gene	AT2G21210	824	196
128	AT1G16510	gene	AT2G21220	824	196
128	AT1G16510	gene	AT2G24400	824	196
128	AT1G16510	gene	AT2G28085	824	196
128	AT1G16510	gene	AT2G36210	824	196
128	AT1G16510	gene	AT2G37030	824	196
128	AT1G16510	gene	AT2G45210	824	196
128	AT1G16510	gene	AT2G46690	824	196
128	AT1G16510	gene	AT3G03820	824	196
128	AT1G16510	gene	AT3G03830	824	196
128	AT1G16510	gene	AT3G03840	824	196
128	AT1G16510	gene	AT3G03850	824	196
128	AT1G16510	gene	AT3G09870	824	196
128	AT1G16510	gene	AT3G12830	824	196
128	AT1G16510	gene	AT3G20220	824	196
128	AT1G16510	gene	AT3G43120	824	196
128	AT1G16510	gene	AT3G51200	824	196
128	AT1G16510	gene	AT3G53250	824	196
128	AT1G16510	gene	AT3G60690	824	196
128	AT1G16510	gene	AT3G61900	824	196
128	AT1G16510	gene	AT4G00880	824	196
128	AT1G16510	gene	AT4G09530	824	196
128	AT1G16510	gene	AT4G12410	824	196
128	AT1G16510	gene	AT4G13790	824	196
128	AT1G16510	gene	AT4G22620	824	196
128	AT1G16510	gene	AT4G31320	824	196
128	AT1G16510	gene	AT4G34750	824	196
128	AT1G16510	gene	AT4G34760	824	196
128	AT1G16510	gene	AT4G34770	824	196
128	AT1G16510	gene	AT4G34780	824	196
128	AT1G16510	gene	AT4G34790	824	196
128	AT1G16510	gene	AT4G34800	824	196
128	AT1G16510	gene	AT4G34810	824	196
128	AT1G16510	gene	AT4G36110	824	196
128	AT1G16510	gene	AT4G38825	824	196
128	AT1G16510	gene	AT4G38840	824	196
128	AT1G16510	gene	AT4G38850	824	196
128	AT1G16510	gene	AT4G38860	824	196
128	AT1G16510	gene	AT5G10990	824	196
128	AT1G16510	gene	AT5G18010	824	196
128	AT1G16510	gene	AT5G18020	824	196
128	AT1G16510	gene	AT5G18030	824	196
128	AT1G16510	gene	AT5G18050	824	196
128	AT1G16510	gene	AT5G18060	824	196
128	AT1G16510	gene	AT5G18080	824	196
128	AT1G16510	gene	AT5G20810	824	196
128	AT1G16510	gene	AT5G27780	824	196
128	AT1G16510	gene	AT5G50760	824	196
128	AT1G16510	gene	AT5G53590	824	196
128	AT1G16510	gene	AT5G66260	824	196
126	AT1G23160	gene	AT1G23160	824	176
126	AT1G23160	gene	AT1G28130	824	176
126	AT1G23160	gene	AT1G48660	824	176
126	AT1G23160	gene	AT1G48670	824	176
126	AT1G23160	gene	AT1G59500	824	176
126	AT1G23160	gene	AT2G14960	824	176
126	AT1G23160	gene	AT2G23170	824	176
126	AT1G23160	gene	AT2G47750	824	176
126	AT1G23160	gene	AT4G03400	824	176
126	AT1G23160	gene	AT4G27260	824	176
126	AT1G23160	gene	AT4G37390	824	176
126	AT1G23160	gene	AT5G13320	824	176
126	AT1G23160	gene	AT5G13350	824	176
126	AT1G23160	gene	AT5G13360	824	176
126	AT1G23160	gene	AT5G13370	824	176
126	AT1G23160	gene	AT5G13380	824	176
126	AT1G23160	gene	AT5G51470	824	176
126	AT1G23160	gene	AT5G54510	824	176
180	AT1G24650	gene	AT1G24650	323	269
180	AT1G24650	gene	AT1G66150	323	269
180	AT1G24650	gene	AT2G01820	323	269
180	AT1G24650	gene	AT3G23750	323	269
188	HAI2	gene	AT1G07430	449	325
188	HAI2	gene	AT1G17550	449	325
188	HAI2	gene	AT1G72770	449	325
188	HAI2	gene	AT2G29380	449	325
188	HAI2	gene	AT3G11410	449	325
188	HAI2	gene	AT4G26080	449	325
188	HAI2	gene	AT5G51760	449	325
188	HAI2	gene	AT5G57050	449	325
188	HAI2	gene	AT5G59220	449	325
127	IAA10	gene	AT1G04100	824	156
49	IAA10	gene	AT1G04100	564	176
127	IAA10	gene	AT1G04240	824	156
49	IAA10	gene	AT1G04240	564	176
127	IAA10	gene	AT1G04250	824	156
49	IAA10	gene	AT1G04250	564	176
127	IAA10	gene	AT1G04550	824	156
49	IAA10	gene	AT1G04550	564	176
127	IAA10	gene	AT1G15050	824	156
49	IAA10	gene	AT1G15050	564	176
127	IAA10	gene	AT1G15580	824	156
49	IAA10	gene	AT1G15580	564	176
127	IAA10	gene	AT1G51950	824	156
49	IAA10	gene	AT1G51950	564	176
127	IAA10	gene	AT1G52830	824	156
49	IAA10	gene	AT1G52830	564	176
127	IAA10	gene	AT1G80390	824	156
49	IAA10	gene	AT1G80390	564	176
127	IAA10	gene	AT2G01200	824	156
49	IAA10	gene	AT2G01200	564	176
127	IAA10	gene	AT2G22670	824	156
49	IAA10	gene	AT2G22670	564	176
127	IAA10	gene	AT2G33310	824	156
49	IAA10	gene	AT2G33310	564	176
127	IAA10	gene	AT2G46990	824	156
49	IAA10	gene	AT2G46990	564	176
127	IAA10	gene	AT3G04730	824	156
49	IAA10	gene	AT3G04730	564	176
127	IAA10	gene	AT3G15540	824	156
49	IAA10	gene	AT3G15540	564	176
127	IAA10	gene	AT3G16500	824	156
49	IAA10	gene	AT3G16500	564	176
127	IAA10	gene	AT3G17600	824	156
49	IAA10	gene	AT3G17600	564	176
127	IAA10	gene	AT3G23030	824	156
49	IAA10	gene	AT3G23030	564	176
127	IAA10	gene	AT3G23050	824	156
49	IAA10	gene	AT3G23050	564	176
127	IAA10	gene	AT3G62100	824	156
49	IAA10	gene	AT3G62100	564	176
127	IAA10	gene	AT4G14550	824	156
49	IAA10	gene	AT4G14550	564	176
127	IAA10	gene	AT4G14560	824	156
49	IAA10	gene	AT4G14560	564	176
127	IAA10	gene	AT4G28640	824	156
49	IAA10	gene	AT4G28640	564	176
127	IAA10	gene	AT4G29080	824	156
49	IAA10	gene	AT4G29080	564	176
127	IAA10	gene	AT4G32280	824	156
49	IAA10	gene	AT4G32280	564	176
127	IAA10	gene	AT5G25890	824	156
49	IAA10	gene	AT5G25890	564	176
127	IAA10	gene	AT5G43700	824	156
49	IAA10	gene	AT5G43700	564	176
127	IAA10	gene	AT5G65670	824	156
49	IAA10	gene	AT5G65670	564	176
136	LAX3	gene	AT1G77690	323	176
136	LAX3	gene	AT2G21050	323	176
136	LAX3	gene	AT2G38120	323	176
136	LAX3	gene	AT5G01240	323	176
186	MKK4	gene	AT1G51660	449	280
186	MKK4	gene	AT3G21220	449	280
197	MPK6	gene	AT2G43790	556	280
197	MPK6	gene	AT3G45640	556	280
197	MPK6	gene	AT3G59790	556	280
187	TAR1	gene	AT1G23320	449	303
187	TAR1	gene	AT1G70560	449	303
187	TAR1	gene	AT4G24670	449	303
PROC_ABA_RESPONSE	Abscisic Acid Response	process	NA	911	325
PROC_AUXIN_BIOSYN	Auxin Biosynthesis	process	NA	911	303
PROC_PLANT_GROWTH	Plant Growth	process	NA	911	176
