gene_id	symbol	node_id	display_name	x	y	pathway	source
AT1G04100	IAA10	49	IAA10	564	176	auxin	4075
AT1G04240	SHY2	49	IAA10	564	176	auxin	4075
AT1G04250	AXR3	49	IAA10	564	176	auxin	4075
AT1G04550	IAA12	49	IAA10	564	176	auxin	4075
AT1G12820	AFB3	110	AFB3	467	176	auxin	4075
AT1G15050	IAA34	49	IAA10	564	176	auxin	4075
AT1G15580	IAA5	49	IAA10	564	176	auxin	4075
AT1G16510	NA	128	AT1G16510	824	196	auxin	4075
AT1G17260	AHA10	183	AHA10	324	331	auxin	4075
AT1G19220	ARF19	51	ARF19	660	176	auxin	4075
AT1G19830	NA	128	AT1G16510	824	196	auxin	4075
AT1G19840	NA	128	AT1G16510	824	196	auxin	4075
AT1G19850	MP	51	ARF19	660	176	auxin	4075
AT1G20470	NA	128	AT1G16510	824	196	auxin	4075
AT1G23160	NA	126	AT1G23160	824	176	auxin	4075
AT1G23320	TAR1	187	TAR1	449	303	auxin	4075
AT1G24650	NA	180	AT1G24650	323	269	auxin	4075
AT1G28130	GH3.17	126	AT1G23160	824	176	auxin	4075
AT1G29420	NA	128	AT1G16510	824	196	auxin	4075
AT1G29430	NA	128	AT1G16510	824	196	auxin	4075
AT1G29440	SAUR63	128	AT1G16510	824	196	auxin	4075
AT1G29450	NA	128	AT1G16510	824	196	auxin	4075
AT1G29460	NA	128	AT1G16510	824	196	auxin	4075
AT1G29490	NA	128	AT1G16510	824	196	auxin	4075
AT1G29500	NA	128	AT1G16510	824	196	auxin	4075
AT1G29510	SAUR68	128	AT1G16510	824	196	auxin	4075
AT1G30330	ARF6	51	ARF19	660	176	auxin	4075
AT1G34170	ARF13	51	ARF19	660	176	auxin	4075
AT1G34310	ARF12	51	ARF19	660	176	auxin	4075
AT1G34390	ARF22	51	ARF19	660	176	auxin	4075
AT1G34410	ARF21	51	ARF19	660	176	auxin	4075
AT1G35240	ARF20	51	ARF19	660	176	auxin	4075
AT1G35520	ARF15	51	ARF19	660	176	auxin	4075
AT1G35540	ARF14	51	ARF19	660	176	auxin	4075
AT1G43950	ARF23	51	ARF19	660	176	auxin	4075
AT1G48660	NA	126	AT1G23160	824	176	auxin	4075
AT1G48670	NA	126	AT1G23160	824	176	auxin	4075
AT1G51660	MKK4	186	MKK4	449	280	auxin	4075
AT1G51950	IAA18	49	IAA10	564	176	auxin	4075
AT1G52830	IAA6	49	IAA10	564	176	auxin	4075
AT1G56150	NA	128	AT1G16510	824	196	auxin	4075
AT1G59500	GH3.4	126	AT1G23160	824	176	auxin	4075
AT1G59750	ARF1	51	ARF19	660	176	auxin	4075
AT1G66150	TMK1	180	AT1G24650	323	269	auxin	4075
AT1G70560	TAA1	187	TAR1	449	303	auxin	4075
AT1G75580	NA	128	AT1G16510	824	196	auxin	4075
AT1G75590	NA	128	AT1G16510	824	196	auxin	4075
AT1G76190	NA	128	AT1G16510	824	196	auxin	4075
AT1G77690	LAX3	136	LAX3	323	176	auxin	4075
AT1G77850	ARF17	51	ARF19	660	176	auxin	4075
AT1G79130	NA	128	AT1G16510	824	196	auxin	4075
AT1G80390	IAA15	49	IAA10	564	176	auxin	4075
AT1G80660	HA9	183	AHA10	324	331	auxin	4075
AT2G01200	IAA32	49	IAA10	564	176	auxin	4075
AT2G01820	NA	180	AT1G24650	323	269	auxin	4075
AT2G07560	HA6	183	AHA10	324	331	auxin	4075
AT2G14960	GH3.1	126	AT1G23160	824	176	auxin	4075
AT2G16580	NA	128	AT1G16510	824	196	auxin	4075
AT2G18010	NA	128	AT1G16510	824	196	auxin	4075
AT2G18960	HA1	183	AHA10	324	331	auxin	4075
AT2G21050	LAX2	136	LAX3	323	176	auxin	4075
AT2G21200	NA	128	AT1G16510	824	196	auxin	4075
AT2G21210	NA	128	AT1G16510	824	196	auxin	4075
AT2G21220	NA	128	AT1G16510	824	196	auxin	4075
AT2G22670	IAA8	49	IAA10	564	176	auxin	4075
AT2G23170	GH3.3	126	AT1G23160	824	176	auxin	4075
AT2G24400	NA	128	AT1G16510	824	196	auxin	4075
AT2G24520	HA5	183	AHA10	324	331	auxin	4075
AT2G28085	NA	128	AT1G16510	824	196	auxin	4075
AT2G28350	ARF10	51	ARF19	660	176	auxin	4075
AT2G33310	IAA13	49	IAA10	564	176	auxin	4075
AT2G33860	ETT	51	ARF19	660	176	auxin	4075
AT2G36210	NA	128	AT1G16510	824	196	auxin	4075
AT2G37030	NA	128	AT1G16510	824	196	auxin	4075
AT2G38120	AUX1	136	LAX3	323	176	auxin	4075
AT2G45210	SAUR36	128	AT1G16510	824	196	auxin	4075
AT2G46530	ARF11	51	ARF19	660	176	auxin	4075
AT2G46690	NA	128	AT1G16510	824	196	auxin	4075
AT2G46990	IAA20	49	IAA10	564	176	auxin	4075
AT2G47750	GH3.9	126	AT1G23160	824	176	auxin	4075
AT3G03820	SAUR29	128	AT1G16510	824	196	auxin	4075
AT3G03830	SAUR28	128	AT1G16510	824	196	auxin	4075
AT3G03840	SAUR27	128	AT1G16510	824	196	auxin	4075
AT3G03850	SAUR26	128	AT1G16510	824	196	auxin	4075
AT3G04730	IAA16	49	IAA10	564	176	auxin	4075
AT3G09870	NA	128	AT1G16510	824	196	auxin	4075
AT3G12830	NA	128	AT1G16510	824	196	auxin	4075
AT3G15540	IAA19	49	IAA10	564	176	auxin	4075
AT3G16500	PAP1	49	IAA10	564	176	auxin	4075
AT3G17600	IAA31	49	IAA10	564	176	auxin	4075
AT3G20220	NA	128	AT1G16510	824	196	auxin	4075
AT3G21220	MKK5	186	MKK4	449	280	auxin	4075
AT3G23030	IAA2	49	IAA10	564	176	auxin	4075
AT3G23050	IAA7	49	IAA10	564	176	auxin	4075
AT3G23750	NA	180	AT1G24650	323	269	auxin	4075
AT3G26810	AFB2	110	AFB3	467	176	auxin	4075
AT3G42640	HA8	183	AHA10	324	331	auxin	4075
AT3G43120	NA	128	AT1G16510	824	196	auxin	4075
AT3G45640	MPK3	197	MPK3	556	280	auxin	4075
AT3G47950	HA4	183	AHA10	324	331	auxin	4075
AT3G51200	NA	128	AT1G16510	824	196	auxin	4075
AT3G53250	NA	128	AT1G16510	824	196	auxin	4075
AT3G60330	HA7	183	AHA10	324	331	auxin	4075
AT3G60690	NA	128	AT1G16510	824	196	auxin	4075
AT3G61830	ARF18	51	ARF19	660	176	auxin	4075
AT3G61900	NA	128	AT1G16510	824	196	auxin	4075
AT3G62100	IAA30	49	IAA10	564	176	auxin	4075
AT3G62980	TIR1	110	AFB3	467	176	auxin	4075
AT4G00880	NA	128	AT1G16510	824	196	auxin	4075
AT4G02980	ABP1	181	ABP1	295	252	auxin	4075
AT4G03190	GRH1	110	AFB3	467	176	auxin	4075
AT4G03400	DFL2	126	AT1G23160	824	176	auxin	4075
AT4G09530	NA	128	AT1G16510	824	196	auxin	4075
AT4G11730	NA	183	AHA10	324	331	auxin	4075
AT4G12410	NA	128	AT1G16510	824	196	auxin	4075
AT4G13790	NA	128	AT1G16510	824	196	auxin	4075
AT4G14550	IAA14	49	IAA10	564	176	auxin	4075
AT4G14560	IAA1	49	IAA10	564	176	auxin	4075
AT4G22620	NA	128	AT1G16510	824	196	auxin	4075
AT4G23980	ARF9	51	ARF19	660	176	auxin	4075
AT4G24670	TAR2	187	TAR1	449	303	auxin	4075
AT4G27260	WES1	126	AT1G23160	824	176	auxin	4075
AT4G28640	IAA11	49	IAA10	564	176	auxin	4075
AT4G29080	PAP2	49	IAA10	564	176	auxin	4075
AT4G30080	ARF16	51	ARF19	660	176	auxin	4075
AT4G30190	HA2	183	AHA10	324	331	auxin	4075
AT4G31320	NA	128	AT1G16510	824	196	auxin	4075
AT4G32280	IAA29	49	IAA10	564	176	auxin	4075
AT4G34750	NA	128	AT1G16510	824	196	auxin	4075
AT4G34760	NA	128	AT1G16510	824	196	auxin	4075
AT4G34770	NA	128	AT1G16510	824	196	auxin	4075
AT4G34780	NA	128	AT1G16510	824	196	auxin	4075
AT4G34790	NA	128	AT1G16510	824	196	auxin	4075
AT4G34800	NA	128	AT1G16510	824	196	auxin	4075
AT4G34810	NA	128	AT1G16510	824	196	auxin	4075
AT4G36110	SAUR9	128	AT1G16510	824	196	auxin	4075
AT4G37390	BRU6	126	AT1G23160	824	176	auxin	4075
AT4G38825	NA	128	AT1G16510	824	196	auxin	4075
AT4G38840	NA	128	AT1G16510	824	196	auxin	4075
AT4G38850	SAUR15	128	AT1G16510	824	196	auxin	4075
AT4G38860	NA	128	AT1G16510	824	196	auxin	4075
AT5G01240	LAX1	136	LAX3	323	176	auxin	4075
AT5G10990	NA	128	AT1G16510	824	196	auxin	4075
AT5G13320	PBS3	126	AT1G23160	824	176	auxin	4075
AT5G13350	NA	126	AT1G23160	824	176	auxin	4075
AT5G13360	NA	126	AT1G23160	824	176	auxin	4075
AT5G13370	NA	126	AT1G23160	824	176	auxin	4075
AT5G13380	NA	126	AT1G23160	824	176	auxin	4075
AT5G18010	SAUR19	128	AT1G16510	824	196	auxin	4075
AT5G18020	SAUR20	128	AT1G16510	824	196	auxin	4075
AT5G18030	NA	128	AT1G16510	824	196	auxin	4075
AT5G18050	SAUR22	128	AT1G16510	824	196	auxin	4075
AT5G18060	SAUR23	128	AT1G16510	824	196	auxin	4075
AT5G18080	SAUR24	128	AT1G16510	824	196	auxin	4075
AT5G20730	NPH4	51	ARF19	660	176	auxin	4075
AT5G20810	NA	128	AT1G16510	824	196	auxin	4075
AT5G25890	IAA28	49	IAA10	564	176	auxin	4075
AT5G27780	SAUR75	128	AT1G16510	824	196	auxin	4075
AT5G37020	ARF8	51	ARF19	660	176	auxin	4075
AT5G43700	ATAUX2-11	49	IAA10	564	176	auxin	4075
AT5G50760	NA	128	AT1G16510	824	196	auxin	4075
AT5G51470	NA	126	AT1G23160	824	176	auxin	4075
AT5G53590	NA	128	AT1G16510	824	196	auxin	4075
AT5G54510	DFL1	126	AT1G23160	824	176	auxin	4075
AT5G57350	HA3	183	AHA10	324	331	auxin	4075
AT5G60450	ARF4	51	ARF19	660	176	auxin	4075
AT5G62000	ARF2	51	ARF19	660	176	auxin	4075
AT5G62670	HA11	183	AHA10	324	331	auxin	4075
AT5G65670	IAA9	49	IAA10	564	176	auxin	4075
AT5G66260	NA	128	AT1G16510	824	196	auxin	4075
AT1G01360	RCAR1	aba_60	RCAR1	425	747	aba	4075
AT1G03970	GBF4	aba_137	GBF4	715	747	aba	4075
AT1G07430	HAI2	62_aba	HAI2	521	747	aba	4075
AT1G10940	SNRK2.4	aba_67	SNRK2.4	617	747	aba	4075
AT1G17550	HAB2	62_aba	HAI2	521	747	aba	4075
AT1G45249	ABF2	aba_137	GBF4	715	747	aba	4075
AT1G49720	ABF1	aba_137	GBF4	715	747	aba	4075
AT1G60940	SNRK2.10	aba_67	SNRK2.4	617	747	aba	4075
AT1G72770	HAB1	62_aba	HAI2	521	747	aba	4075
AT1G73000	PYL3	aba_60	RCAR1	425	747	aba	4075
AT1G78290	SNRK2-8	aba_67	SNRK2.4	617	747	aba	4075
AT2G17770	BZIP27	aba_137	GBF4	715	747	aba	4075
AT2G23030	SNRK2.9	aba_67	SNRK2.4	617	747	aba	4075
AT2G26040	PYL2	aba_60	RCAR1	425	747	aba	4075
AT2G29380	HAI3	62_aba	HAI2	521	747	aba	4075
AT2G36270	ABI5	aba_137	GBF4	715	747	aba	4075
AT2G38310	PYL4	aba_60	RCAR1	425	747	aba	4075
AT2G40330	PYL6	aba_60	RCAR1	425	747	aba	4075
AT2G41070	EEL	aba_137	GBF4	715	747	aba	4075
AT3G11410	PP2CA	62_aba	HAI2	521	747	aba	4075
AT3G19290	ABF4	aba_137	GBF4	715	747	aba	4075
AT3G44460	DPBF2	aba_137	GBF4	715	747	aba	4075
AT3G50500	SNRK2.2	aba_67	SNRK2.4	617	747	aba	4075
AT3G56850	AREB3	aba_137	GBF4	715	747	aba	4075
AT4G01026	PYL7	aba_60	RCAR1	425	747	aba	4075
AT4G17870	PYR1	aba_60	RCAR1	425	747	aba	4075
AT4G18620	PYL13	aba_60	RCAR1	425	747	aba	4075
AT4G26080	ABI1	62_aba	HAI2	521	747	aba	4075
AT4G27920	PYL10	aba_60	RCAR1	425	747	aba	4075
AT4G33950	OST1	aba_67	SNRK2.4	617	747	aba	4075
AT4G34000	ABF3	aba_137	GBF4	715	747	aba	4075
AT4G35900	FD	aba_137	GBF4	715	747	aba	4075
AT4G40010	SNRK2.7	aba_67	SNRK2.4	617	747	aba	4075
AT5G05440	PYL5	aba_60	RCAR1	425	747	aba	4075
AT5G08590	SNRK2.1	aba_67	SNRK2.4	617	747	aba	4075
AT5G42910	NA	aba_137	GBF4	715	747	aba	4075
AT5G44080	NA	aba_137	GBF4	715	747	aba	4075
AT5G45860	PYL11	aba_60	RCAR1	425	747	aba	4075
AT5G45870	PYL12	aba_60	RCAR1	425	747	aba	4075
AT5G46790	PYL1	aba_60	RCAR1	425	747	aba	4075
AT5G51760	AHG1	62_aba	HAI2	521	747	aba	4075
AT5G53160	RCAR3	aba_60	RCAR1	425	747	aba	4075
AT5G57050	ABI2	62_aba	HAI2	521	747	aba	4075
AT5G59220	HAI1	62_aba	HAI2	521	747	aba	4075
AT5G63650	SNRK2.5	aba_67	SNRK2.4	617	747	aba	4075
AT5G66880	SNRK2.3	aba_67	SNRK2.4	617	747	aba	4075
AT1G01360	RCAR1	aba_60	RCAR1	263	891	aba_4016	4016
AT1G05100	MAPKKK18	4016_140	MAPKKK18	523	891	aba_4016	4016
AT1G07430	HAI2	62_aba	HAI2	343	891	aba_4016	4016
AT1G10210	MPK1	4016_227	MPK1	670	891	aba_4016	4016
AT1G10940	SNRK2.4	aba_67	SNRK2.4	423	891	aba_4016	4016
AT1G17550	HAB2	62_aba	HAI2	343	891	aba_4016	4016
AT1G20620	CAT3	4016_177	CAT3	961	936	aba_4016	4016
AT1G20630	CAT1	4016_177	CAT3	961	936	aba_4016	4016
AT1G59580	MPK2	4016_227	MPK1	670	891	aba_4016	4016
AT1G60940	SNRK2.10	aba_67	SNRK2.4	423	891	aba_4016	4016
AT1G72770	HAB1	62_aba	HAI2	343	891	aba_4016	4016
AT1G73000	PYL3	aba_60	RCAR1	263	891	aba_4016	4016
AT1G78290	SNRK2-8	aba_67	SNRK2.4	423	891	aba_4016	4016
AT2G18170	MPK7	4016_227	MPK1	670	891	aba_4016	4016
AT2G23030	SNRK2.9	aba_67	SNRK2.4	423	891	aba_4016	4016
AT2G26040	PYL2	aba_60	RCAR1	263	891	aba_4016	4016
AT2G29380	HAI3	62_aba	HAI2	343	891	aba_4016	4016
AT2G32510	MAPKKK17	4016_140	MAPKKK18	523	891	aba_4016	4016
AT2G38310	PYL4	aba_60	RCAR1	263	891	aba_4016	4016
AT2G40330	PYL6	aba_60	RCAR1	263	891	aba_4016	4016
AT2G43790	MPK6	4016_172	MPK6	670	936	aba_4016	4016
AT3G11410	PP2CA	62_aba	HAI2	343	891	aba_4016	4016
AT3G50500	SNRK2.2	aba_67	SNRK2.4	423	891	aba_4016	4016
AT3G59790	MPK10	4016_172	MPK6	670	936	aba_4016	4016
AT4G01026	PYL7	aba_60	RCAR1	263	891	aba_4016	4016
AT4G17870	PYR1	aba_60	RCAR1	263	891	aba_4016	4016
AT4G18620	PYL13	aba_60	RCAR1	263	891	aba_4016	4016
AT4G26070	MEK1	4016_171	MEK1	596	936	aba_4016	4016
AT4G26080	ABI1	62_aba	HAI2	343	891	aba_4016	4016
AT4G27920	PYL10	aba_60	RCAR1	263	891	aba_4016	4016
AT4G33950	OST1	aba_67	SNRK2.4	423	891	aba_4016	4016
AT4G35090	CAT2	4016_177	CAT3	961	936	aba_4016	4016
AT4G36450	MPK14	4016_227	MPK1	670	891	aba_4016	4016
AT4G40010	SNRK2.7	aba_67	SNRK2.4	423	891	aba_4016	4016
AT5G05440	PYL5	aba_60	RCAR1	263	891	aba_4016	4016
AT5G08590	SNRK2.1	aba_67	SNRK2.4	423	891	aba_4016	4016
AT5G40440	MKK3	4016_137	MKK3	596	891	aba_4016	4016
AT5G45860	PYL11	aba_60	RCAR1	263	891	aba_4016	4016
AT5G45870	PYL12	aba_60	RCAR1	263	891	aba_4016	4016
AT5G46790	PYL1	aba_60	RCAR1	263	891	aba_4016	4016
AT5G51760	AHG1	62_aba	HAI2	343	891	aba_4016	4016
AT5G53160	RCAR3	aba_60	RCAR1	263	891	aba_4016	4016
AT5G57050	ABI2	62_aba	HAI2	343	891	aba_4016	4016
AT5G59220	HAI1	62_aba	HAI2	343	891	aba_4016	4016
AT5G63650	SNRK2.5	aba_67	SNRK2.4	423	891	aba_4016	4016
AT5G66880	SNRK2.3	aba_67	SNRK2.4	423	891	aba_4016	4016
AT1G17380	JAZ5	88	JAZ5	598	1197	jasmonate_4075	NA
AT1G19180	JAZ1	88	JAZ5	598	1197	jasmonate_4075	NA
AT1G32640	MYC2	27	MYC2	678	1197	jasmonate_4075	NA
AT1G48500	JAZ4	88	JAZ5	598	1197	jasmonate_4075	NA
AT1G70700	TIFY7	88	JAZ5	598	1197	jasmonate_4075	NA
AT1G72450	JAZ6	88	JAZ5	598	1197	jasmonate_4075	NA
AT1G74950	TIFY10B	88	JAZ5	598	1197	jasmonate_4075	NA
AT2G39940	COI1	120	COI1	490	1197	jasmonate_4075	NA
AT2G46370	JAR1	99	JAR1	366	1209	jasmonate_4075	NA
AT3G17860	JAZ3	88	JAZ5	598	1197	jasmonate_4075	NA
AT3G43440	JAZ11	88	JAZ5	598	1197	jasmonate_4075	NA
AT5G13220	JAZ10	88	JAZ5	598	1197	jasmonate_4075	NA
AT5G20900	JAZ12	88	JAZ5	598	1197	jasmonate_4075	NA
AT1G32640	MYC2	27	MYC2	873	744	jasmonate_4016	NA
AT2G43790	MPK6	4016_172	MPK6	670	744	jasmonate_4016	NA
AT3G59790	MPK10	4016_172	MPK6	670	744	jasmonate_4016	NA
AT5G40440	MKK3	4016_137	MKK3	596	744	jasmonate_4016	NA
